id,author,downloads,downloads_all_time,likes,trending_score,parameter_count,parameter_count_b,capacity_class,pipeline_tag,library_name,license,gated,private,created_at,last_modified,sha,base_models,has_safetensors,has_gguf,has_tokenizer,has_chat_template,siblings_count,safetensors_files,gguf_files,bin_files,eval_results_count,inference_provider_count,inference_providers,live_inference_providers,supports_tools_any,supports_structured_output_any,max_context_length,router_served,router_provider_count,router_providers,router_supports_tools_any,router_supports_structured_output_any,router_max_context_length,tags
CohereLabs,CohereLabs,1349480,,10266,192,,,,models=46,,,0,0,,,,,31,4,,,,,,,22,,,,9,0,,11,,,,,,
EssentialAI,EssentialAI,349259,,521,1,,,,models=5,,,0,0,,,,,4,1,,,,,,,0,,,,1,1,,1,,,,,,
MiniMaxAI,MiniMaxAI,4162529,,8684,1009,,,,models=19,,,0,0,,,,,19,0,,,,,,,30,,,,6,2,,6,,,,,,
Qwen,Qwen,327871414,,97702,655,,,,models=454,,,0,0,,,,,383,54,,,,,,,416,,,,29,20,,31,,,,,,
Sao10K,Sao10K,24623,,2192,7,,,,models=34,,,0,0,,,,,25,2,,,,,,,0,,,,0,0,,2,,,,,,
aisingapore,aisingapore,42685,,316,2,,,,models=75,,,0,0,,,,,52,10,,,,,,,0,,,,1,2,,2,,,,,,
allenai,allenai,7088309,,9463,37,,,,models=951,,,0,0,,,,,561,12,,,,,,,32,,,,1,0,,1,,,,,,
alpindale,alpindale,38006,,962,0,,,,models=94,,,0,0,,,,,69,3,,,,,,,0,,,,0,0,,1,,,,,,
baidu,baidu,643298,,4965,17,,,,models=35,,,0,0,,,,,35,0,,,,,,,18,,,,0,1,,1,,,,,,
deepcogito,deepcogito,81483,,591,0,,,,models=12,,,0,0,,,,,12,0,,,,,,,0,,,,1,0,,2,,,,,,
deepseek-ai,deepseek-ai,38507427,,64743,254,,,,models=87,,,0,0,,,,,77,0,,,,,,,143,,,,11,12,,14,,,,,,
google,google,134422462,,67527,1087,,,,models=1125,,,0,0,,,,,317,37,,,,,,,67,,,,5,6,,6,,,,,,
inclusionAI,inclusionAI,574123,,7526,67,,,,models=135,,,0,0,,,,,109,8,,,,,,,170,,,,1,0,,1,,,,,,
meta-llama,meta-llama,33035037,,61284,122,,,,models=70,,,0,0,,,,,54,0,,,,,,,36,,,,5,6,,8,,,,,,
moonshotai,moonshotai,8173235,,13264,826,,,,models=18,,,0,0,,,,,18,0,,,,,,,89,,,,5,3,,6,,,,,,
nvidia,nvidia,41331245,,46743,829,,,,models=835,,,0,0,,,,,474,1,,,,,,,212,,,,2,2,,2,,,,,,
openai,openai,74914076,,28951,92,,,,models=39,,,0,0,,,,,25,0,,,,,,,119,,,,3,2,,3,,,,,,
pearl-ai,pearl-ai,68867,,13,0,,,,models=4,,,0,0,,,,,4,0,,,,,,,0,,,,1,0,,1,,,,,,
stepfun-ai,stepfun-ai,1942824,,7320,26,,,,models=51,,,0,0,,,,,46,3,,,,,,,12,,,,2,0,,2,,,,,,
swiss-ai,swiss-ai,153081,,969,5,,,,models=21,,,0,0,,,,,20,0,,,,,,,2,,,,0,2,,2,,,,,,
utter-project,utter-project,232789,,896,2,,,,models=41,,,0,0,,,,,28,0,,,,,,,2,,,,0,0,,1,,,,,,
zai-org,zai-org,11577384,,35919,1675,,,,models=150,,,0,0,,,,,96,5,,,,,,,141,,,,15,3,,19,,,,,,
